"accession","water","microbe","replicate","tray","shelf","rack","fruit","flowering","counter"
"69","W","L",3,"30","B","3",38,6,"CF"
"21","W","S",3,"30","B","3",30,9,"CF"
"52","W","S",3,"30","B","3",20,24,"CF"
"55","D","S",3,"31","B","3",27,8,"CF"
"72","W","S",3,"31","B","3",24,22,"CF"
"12","W","S",3,"31","B","3",40,13,"CF"
"69","D","S",3,"31","B","3",15,11,"CF"
"56","D","S",3,"31","B","3",27,10,"CF"
"61","D","L",3,"31","B","3",0,NA,"CF"
"42","D","L",3,"31","B","3",50,8,"CF"
"1","D","L",3,"31","B","3",29,15,"CF"
"47","D","L",3,"31","B","3",8,15,"CF"
"11","W","S",3,"31","B","3",0,NA,"CF"
"38","W","L",3,"31","B","3",23,14,"CF"
"3","W","S",3,"31","B","3",20,22,"CF"
"3","D","S",3,"31","B","3",21,20,"CF"
"45","D","S",3,"31","B","3",3,17,"CF"
"56","D","L",3,"31","B","3",11,8,"CF"
"45","D","L",3,"32","B","3",18,4,"JV"
"43","W","L",3,"32","B","3",50,4,"JV"
"58","D","L",3,"32","B","3",0,NA,"JV"
"15","D","L",3,"32","B","3",26,5,"JV"
"37","W","S",3,"32","B","3",41,9,"JV"
"68","D","L",3,"32","B","3",8,10,"JV"
"47","D","S",3,"32","B","3",19,9,"JV"
"50","W","S",3,"32","B","3",3,22,"JV"
"44","W","S",3,"32","B","3",13,21,"JV"
"58","D","S",3,"32","B","3",0,NA,"JV"
"11","D","L",3,"32","B","3",18,19,"JV"
"33","D","L",3,"32","B","3",17,8,"JV"
"64","D","L",3,"32","B","3",13,9,"JV"
"63","W","S",3,"32","B","3",16,25,"JV"
"50","W","L",3,"32","B","3",14,11,"JV"
"64","W","S",3,"33","C","3",21,13,"JV"
"41","D","L",3,"33","C","3",0,NA,"JV"
"72","W","L",3,"33","C","3",33,12,"JV"
"73","D","L",3,"33","C","3",0,NA,"JV"
"38","D","L",3,"33","C","3",21,4,"JV"
"8","D","L",3,"33","C","3",11,4,"JV"
"62","D","S",3,"33","C","3",0,NA,"JV"
"12","D","L",3,"33","C","3",20,4,"JV"
"8","W","S",3,"33","C","3",27,8,"JV"
"62","W","L",3,"33","C","3",0,NA,"JV"
"52","W","L",3,"33","C","3",2,35,"JV"
"43","D","L",3,"33","C","3",23,4,"JV"
"30","W","S",3,"33","C","3",5,21,"JV"
"32","W","S",3,"33","C","3",34,6,"JV"
"70","D","L",3,"33","C","3",6,13,"JV"
"47","W","S",3,"34","C","3",47,9,"JV"
"45","W","S",3,"34","C","3",56,4,"JV"
"66","W","L",3,"34","C","3",48,9,"JV"
"49","W","S",3,"34","C","3",8,10,"JV"
"41","W","S",3,"34","C","3",0,NA,"JV"
"51","W","S",3,"34","C","3",0,NA,"JV"
"67","W","L",3,"34","C","3",51,6,"JV"
"38","W","S",3,"34","C","3",22,4,"JV"
"47","W","L",3,"34","C","3",23,14,"JV"
"1","W","L",3,"34","C","3",42,12,"JV"
"70","W","S",3,"34","C","3",28,11,"JV"
"52","D","S",3,"34","C","3",4,26,"JV"
"70","D","S",3,"34","C","3",7,12,"JV"
"41","D","S",3,"34","C","3",6,32,"JV"
"44","D","S",3,"34","C","3",14,10,"JV"
"9","W","L",3,"35","C","3",36,9,"JV"
"67","D","S",3,"35","C","3",29,8,"JV"
"19","W","L",3,"35","C","3",0,NA,"JV"
"19","D","L",3,"35","C","3",0,NA,"JV"
"58","W","L",3,"35","C","3",17,21,"JV"
"63","W","L",3,"35","C","3",32,15,"JV"
"22","W","L",3,"35","C","3",40,9,"JV"
"12","W","L",3,"35","C","3",45,4,"JV"
"62","D","L",3,"35","C","3",0,NA,"JV"
"49","W","L",3,"35","C","3",16,8,"JV"
"15","D","S",3,"35","C","3",20,5,"JV"
"42","D","S",3,"35","C","3",17,6,"JV"
"30","W","L",3,"35","C","3",20,13,"JV"
"73","W","L",3,"35","C","3",0,NA,"JV"
"10","W","L",3,"35","C","3",11,30,"JV"
"60","D","S",3,"36","C","3",21,7,"JV"
"70","W","L",3,"36","C","3",16,7,"JV"
"68","W","S",3,"36","C","3",7,11,"JV"
"54","W","S",3,"36","C","3",48,9,"JV"
"54","W","L",3,"36","C","3",43,8,"JV"
"60","D","L",3,"36","C","3",23,6,"JV"
"66","D","L",3,"36","C","3",29,4,"JV"
"56","W","S",3,"36","C","3",33,4,"JV"
"72","D","S",3,"36","C","3",4,24,"JV"
"12","D","S",3,"36","C","3",9,9,"JV"
"9","D","S",3,"36","C","3",15,15,"JV"
"49","D","L",4,"37","A","4",27,4,"CF"
"9","W","L",4,"37","A","4",26,12,"CF"
"12","D","S",4,"37","A","4",12,9,"CF"
"70","W","L",4,"37","A","4",0,NA,"CF"
"44","W","S",4,"37","A","4",27,15,"CF"
"33","W","L",4,"37","A","4",31,9,"CF"
"50","D","L",4,"37","A","4",18,13,"CF"
"65","D","L",4,"37","A","4",0,NA,"CF"
"66","W","L",4,"37","A","4",14,18,"CF"
"30","W","L",4,"37","A","4",12,28,"CF"
"54","W","L",4,"37","A","4",60,6,"CF"
"60","W","L",4,"37","A","4",32,8,"CF"
"10","W","S",4,"37","A","4",33,25,"CF"
"62","W","L",4,"37","A","4",0,NA,"CF"
"47","W","L",4,"37","A","4",35,8,"CF"
"19","W","L",4,"38","A","4",0,NA,"CF"
"15","D","S",4,"38","A","4",10,8,"CF"
"60","D","S",4,"38","A","4",19,8,"CF"
"47","D","S",4,"38","A","4",27,6,"CF"
"61","W","L",4,"38","A","4",2,36,"CF"
"1","D","S",4,"38","A","4",0,NA,"CF"
"70","D","L",4,"38","A","4",0,NA,"CF"
"42","D","S",4,"38","A","4",19,10,"CF"
"15","W","L",4,"38","A","4",8,5,"CF"
"73","D","S",4,"38","A","4",0,NA,"CF"
"68","D","S",4,"38","A","4",17,10,"CF"
"61","D","S",4,"38","A","4",0,31,"CF"
"54","D","L",4,"38","A","4",40,5,"CF"
"30","D","S",4,"38","A","4",1,37,"CF"
"38","D","S",4,"38","A","4",23,4,"CF"
"56","W","S",4,"39","A","4",26,10,"CF"
"64","D","L",4,"39","A","4",18,9,"CF"
"8","W","S",4,"39","A","4",53,4,"CF"
"37","W","S",4,"39","A","4",55,7,"CF"
"56","D","L",4,"39","A","4",21,6,"CF"
"43","W","L",4,"39","A","4",41,7,"CF"
"19","W","S",4,"39","A","4",23,20,"CF"
"8","W","L",4,"39","A","4",29,4,"CF"
"11","D","S",4,"39","A","4",20,12,"CF"
"15","D","L",4,"39","A","4",18,4,"CF"
"38","D","L",4,"39","A","4",9,4,"CF"
"1","W","S",4,"39","A","4",23,12,"CF"
"44","D","L",4,"39","A","4",10,13,"CF"
"30","W","S",4,"39","A","4",33,18,"CF"
"10","D","S",4,"39","A","4",11,16,"CF"
"9","W","S",4,"40","A","4",26,18,"CF"
"42","D","L",4,"40","A","4",16,4,"CF"
"10","D","L",4,"40","A","4",13,14,"CF"
"11","W","S",4,"40","A","4",42,14,"CF"
"22","D","S",4,"40","A","4",17,4,"CF"
"42","W","S",4,"40","A","4",44,6,"CF"
"45","W","L",4,"40","A","4",7,4,"CF"
"56","D","S",4,"40","A","4",11,8,"CF"
"12","W","L",4,"40","A","4",36,11,"CF"
"47","D","L",4,"40","A","4",19,6,"CF"
"11","D","L",4,"40","A","4",18,20,"CF"
"9","D","S",4,"40","A","4",18,10,"CF"
"61","D","L",4,"40","A","4",8,17,"CF"
"65","W","S",4,"40","A","4",0,NA,"CF"
"60","W","S",4,"40","A","4",41,6,"CF"
"33","D","S",4,"41","B","4",9,9,"CF"
"19","D","L",4,"41","B","4",11,15,"CF"
"44","W","L",4,"41","B","4",10,21,"CF"
"10","W","L",4,"41","B","4",13,28,"CF"
"41","W","S",4,"41","B","4",1,NA,"CF"
"3","D","L",4,"41","B","4",13,15,"CF"
"52","D","S",4,"41","B","4",60,22,"CF"
"65","D","S",4,"41","B","4",0,NA,"CF"
"37","D","L",4,"41","B","4",31,6,"CF"
"58","D","S",4,"41","B","4",0,NA,"CF"
"15","W","S",4,"41","B","4",17,5,"CF"
"67","D","S",4,"41","B","4",18,9,"CF"
"41","D","S",4,"41","B","4",0,NA,"CF"
"50","D","S",4,"41","B","4",7,14,"CF"
"8","D","S",4,"41","B","4",14,6,"CF"
"22","W","S",4,"42","B","4",36,6,"CF"
"43","W","S",4,"42","B","4",29,4,"CF"
"69","W","L",4,"42","B","4",4,21,"CF"
"49","D","S",4,"42","B","4",18,7,"CF"
"12","D","L",4,"42","B","4",13,7,"CF"
"32","D","L",4,"42","B","4",3,14,"CF"
"67","W","S",4,"42","B","4",35,10,"CF"
"38","W","S",4,"42","B","4",23,4,"CF"
"21","D","L",4,"42","B","4",26,9,"CF"
"38","W","L",4,"42","B","4",30,4,"CF"
"66","D","S",4,"42","B","4",9,15,"CF"
"69","D","L",4,"42","B","4",4,17,"CF"
"55","W","S",4,"42","B","4",28,4,"CF"
"63","W","L",4,"42","B","4",25,14,"CF"
"21","W","S",4,"42","B","4",20,14,"CF"
"64","D","S",4,"43","B","4",14,12,"CF"
"69","D","S",4,"43","B","4",19,9,"CF"
"73","W","L",4,"43","B","4",0,NA,"CF"
"12","W","S",4,"43","B","4",19,10,"CF"
"54","D","S",4,"43","B","4",28,9,"CF"
"37","W","L",4,"43","B","4",1,NA,"CF"
"22","D","L",4,"43","B","4",38,4,"CF"
"56","W","L",4,"43","B","4",14,8,"CF"
"66","D","L",4,"43","B","4",13,10,"CF"
"45","D","L",4,"43","B","4",26,1,"CF"
"63","W","S",4,"43","B","4",9,28,"CF"
"21","W","L",4,"43","B","4",31,8,"CF"
"62","D","S",4,"43","B","4",0,NA,"CF"
"61","W","S",4,"43","B","4",0,NA,"CF"
"11","W","L",4,"43","B","4",16,19,"CF"
"51","D","S",4,"44","B","4",13,27,"CF"
"71","D","S",4,"44","B","4",11,12,"CF"
"62","W","S",4,"44","B","4",0,NA,"CF"
"33","D","L",4,"44","B","4",15,13,"CF"
"67","D","L",4,"44","B","4",17,10,"CF"
"65","W","L",4,"44","B","4",0,NA,"CF"
"68","W","S",4,"44","B","4",22,11,"CF"
"72","W","L",4,"44","B","4",21,23,"CF"
"52","W","S",4,"44","B","4",10,34,"CF"
"19","D","S",4,"44","B","4",11,31,"CF"
"22","W","L",4,"44","B","4",33,9,"CF"
"21","D","S",4,"44","B","4",13,13,"CF"
"70","W","S",4,"44","B","4",23,19,"CF"
"66","W","S",4,"44","B","4",35,10,"CF"
"1","W","L",4,"44","B","4",59,11,"CF"
"70","D","S",4,"45","C","4",2,24,"CF"
"3","D","S",4,"45","C","4",14,14,"CF"
"58","D","L",4,"45","C","4",0,NA,"CF"
"72","W","S",4,"45","C","4",1,20,"CF"
"9","D","L",4,"45","C","4",5,9,"CF"
"71","D","L",4,"45","C","4",14,4,"CF"
"41","W","L",4,"45","C","4",13,13,"CF"
"45","D","S",4,"45","C","4",4,13,"CF"
"68","D","L",4,"45","C","4",3,17,"CF"
"73","D","L",4,"45","C","4",0,NA,"CF"
"63","D","L",4,"45","C","4",3,15,"CF"
"42","W","L",4,"45","C","4",30,4,"CF"
"8","D","L",4,"45","C","4",4,6,"CF"
"73","W","S",4,"45","C","4",0,NA,"CF"
"32","W","S",4,"45","C","4",23,11,"CF"
"60","D","L",4,"46","C","4",1,9,"CF"
"52","D","L",4,"46","C","4",11,10,"CF"
"64","W","L",4,"46","C","4",13,8,"CF"
"1","D","L",4,"46","C","4",10,8,"CF"
"32","D","S",4,"46","C","4",2,13,"CF"
"55","D","S",4,"46","C","4",9,13,"CF"
"68","W","L",4,"46","C","4",10,10,"CF"
"63","D","S",4,"46","C","4",8,11,"CF"
"41","D","L",4,"46","C","4",0,NA,"CF"
"37","D","S",4,"46","C","4",17,4,"CF"
"58","W","L",4,"46","C","4",0,NA,"CF"
"50","W","L",4,"46","C","4",2,19,"CF"
"71","W","L",4,"46","C","4",4,10,"CF"
"58","W","S",4,"46","C","4",0,NA,"CF"
"62","D","L",4,"46","C","4",0,NA,"CF"
"43","D","L",4,"47","C","4",8,5,"CF"
"47","W","S",4,"47","C","4",22,6,"CF"
"3","W","L",4,"47","C","4",23,14,"CF"
"49","W","L",4,"47","C","4",2,21,"CF"
"30","D","L",4,"47","C","4",17,10,"CF"
"72","D","S",4,"47","C","4",1,31,"CF"
"3","W","S",4,"47","C","4",19,17,"CF"
"51","D","L",4,"47","C","4",1,NA,"CF"
"72","D","L",4,"47","C","4",9,19,"CF"
"51","W","L",4,"47","C","4",7,10,"CF"
"52","W","L",4,"47","C","4",4,24,"CF"
"50","W","S",4,"47","C","4",2,14,"CF"
"44","D","S",4,"47","C","4",1,23,"CF"
"69","W","S",4,"47","C","4",17,4,"CF"
"51","W","S",4,"47","C","4",0,NA,"CF"
"54","W","S",4,"48","C","4",20,9,"CF"
"55","D","L",4,"48","C","4",16,9,"CF"
"45","W","S",4,"48","C","4",7,15,"CF"
"64","W","S",4,"48","C","4",15,12,"CF"
"49","W","S",4,"48","C","4",26,4,"CF"
"55","W","L",4,"48","C","4",14,4,"CF"
"43","D","S",4,"48","C","4",12,4,"CF"
"71","W","S",4,"48","C","4",16,4,"CF"
"67","W","L",4,"48","C","4",32,6,"CF"
"32","W","L",4,"48","C","4",2,7,"CF"
"33","W","S",4,"48","C","4",6,10,"CF"
"1","W","L",5,"49","A","5",30,9,"CF"
"11","W","S",5,"49","A","5",18,30,"CF"
"63","W","S",5,"49","A","5",21,11,"CF"
"9","D","S",5,"49","A","5",23,11,"CF"
"69","W","L",5,"49","A","5",5,17,"CF"
"71","D","L",5,"49","A","5",8,11,"CF"
"10","W","L",5,"49","A","5",0,NA,"CF"
"33","W","S",5,"49","A","5",26,7,"CF"
"9","W","S",5,"49","A","5",21,14,"CF"
"1","D","S",5,"49","A","5",6,11,"CF"
"10","W","S",5,"49","A","5",0,NA,"CF"
"41","W","S",5,"49","A","5",0,NA,"CF"
"73","W","L",5,"49","A","5",0,NA,"CF"
"41","W","L",5,"49","A","5",0,NA,"CF"
"15","W","S",5,"50","A","5",40,4,"CF"
"45","W","L",5,"50","A","5",29,4,"CF"
"72","D","L",5,"50","A","5",0,NA,"CF"
"47","W","L",5,"50","A","5",39,6,"CF"
"15","D","L",5,"50","A","5",12,4,"CF"
"49","D","L",5,"50","A","5",25,4,"CF"
"22","W","S",5,"50","A","5",34,4,"CF"
"65","W","L",5,"50","A","5",0,NA,"CF"
"50","D","L",5,"50","A","5",7,15,"CF"
"60","W","S",5,"50","A","5",33,5,"CF"
"21","D","L",5,"50","A","5",9,8,"CF"
"64","W","S",5,"50","A","5",8,12,"CF"
"60","D","S",5,"50","A","5",26,4,"CF"
"3","W","L",5,"50","A","5",8,17,"CF"
"19","D","S",5,"50","A","5",0,NA,"CF"
"21","W","S",5,"51","A","5",33,10,"CF"
"69","D","S",5,"51","A","5",22,7,"CF"
"22","W","L",5,"51","A","5",36,4,"CF"
"41","D","L",5,"51","A","5",6,NA,"CF"
"58","D","S",5,"51","A","5",0,NA,"CF"
"64","W","L",5,"51","A","5",13,16,"CF"
"11","W","L",5,"51","A","5",10,NA,"CF"
"41","D","S",5,"51","A","5",0,NA,"CF"
"43","W","L",5,"51","A","5",18,4,"CF"
"66","W","L",5,"51","A","5",26,10,"CF"
"38","W","S",5,"51","A","5",24,7,"CF"
"70","D","S",5,"51","A","5",17,6,"CF"
"58","W","S",5,"51","A","5",0,NA,"CF"
"21","D","S",5,"51","A","5",13,10,"CF"
"52","D","L",5,"51","A","5",0,NA,"CF"
"30","W","L",5,"52","A","5",0,NA,"CF"
"43","D","S",5,"52","A","5",16,4,"CF"
"38","D","S",5,"52","A","5",22,4,"CF"
"8","D","L",5,"52","A","5",22,7,"CF"
"1","D","L",5,"52","A","5",4,20,"CF"
"61","D","L",5,"52","A","5",0,NA,"CF"
"54","W","S",5,"52","A","5",41,7,"CF"
"44","W","L",5,"52","A","5",9,17,"CF"
"32","W","S",5,"52","A","5",22,15,"CF"
"37","D","L",5,"52","A","5",8,15,"CF"
"67","D","L",5,"52","A","5",21,8,"CF"
"72","W","L",5,"52","A","5",0,NA,"CF"
"52","W","S",5,"52","A","5",22,26,"CF"
"9","D","L",5,"52","A","5",14,20,"CF"
"54","D","S",5,"52","A","5",21,9,"CF"
"62","W","S",5,"53","B","5",0,NA,"CF"
"43","D","L",5,"53","B","5",20,4,"CF"
"56","D","L",5,"53","B","5",15,6,"CF"
"66","W","S",5,"53","B","5",35,5,"CF"
"30","D","L",5,"53","B","5",7,27,"CF"
"68","W","L",5,"53","B","5",5,25,"CF"
"67","W","S",5,"53","B","5",29,6,"CF"
"1","W","S",5,"53","B","5",38,10,"CF"
"30","W","S",5,"53","B","5",39,18,"CF"
"71","D","S",5,"53","B","5",0,NA,"CF"
"56","W","S",5,"53","B","5",17,9,"CF"
"3","W","S",5,"53","B","5",16,20,"CF"
"47","W","S",5,"53","B","5",52,6,"CF"
"42","W","S",5,"53","B","5",60,6,"CF"
"38","W","L",5,"53","B","5",40,4,"CF"
"47","D","L",5,"54","B","5",4,9,"CF"
"62","W","L",5,"54","B","5",0,NA,"CF"
"51","D","L",5,"54","B","5",9,24,"CF"
"45","D","S",5,"54","B","5",0,NA,"CF"
"58","D","L",5,"54","B","5",0,NA,"CF"
"66","D","L",5,"54","B","5",21,5,"CF"
"44","D","L",5,"54","B","5",11,10,"CF"
"62","D","L",5,"54","B","5",0,NA,"CF"
"3","D","L",5,"54","B","5",16,14,"CF"
"64","D","S",5,"54","B","5",7,11,"CF"
"30","D","S",5,"54","B","5",13,17,"CF"
"12","W","L",5,"54","B","5",16,13,"CF"
"12","D","L",5,"54","B","5",0,NA,"CF"
"69","D","L",5,"54","B","5",3,12,"CF"
"3","D","S",5,"54","B","5",6,14,"CF"
"51","W","S",5,"55","B","5",4,33,"CF"
"63","W","L",5,"55","B","5",22,18,"CF"
"52","D","S",5,"55","B","5",10,23,"CF"
"38","D","L",5,"55","B","5",13,4,"CF"
"67","D","S",5,"55","B","5",27,8,"CF"
"66","D","S",5,"55","B","5",14,9,"CF"
"32","D","L",5,"55","B","5",10,6,"CF"
"22","D","L",5,"55","B","5",13,4,"CF"
"43","W","S",5,"55","B","5",10,4,"CF"
"32","W","L",5,"55","B","5",2,28,"CF"
"73","D","L",5,"55","B","5",0,NA,"CF"
"61","W","L",5,"55","B","5",0,38,"CF"
"51","W","L",5,"55","B","5",0,NA,"CF"
"12","D","S",5,"55","B","5",9,4,"CF"
"68","D","L",5,"55","B","5",14,6,"CF"
"47","D","S",5,"56","B","5",17,7,"CF"
"55","D","L",5,"56","B","5",12,4,"CF"
"65","D","L",5,"56","B","5",0,NA,"CF"
"42","D","L",5,"56","B","5",19,4,"CF"
"8","W","L",5,"56","B","5",30,4,"CF"
"63","D","L",5,"56","B","5",16,11,"CF"
"37","W","S",5,"56","B","5",28,9,"CF"
"11","D","S",5,"56","B","5",17,10,"CF"
"42","D","S",5,"56","B","5",16,5,"CF"
"11","D","L",5,"56","B","5",12,17,"CF"
"37","W","L",5,"56","B","5",41,6,"CF"
"37","D","S",5,"56","B","5",12,8,"CF"
"55","W","L",5,"56","B","5",57,8,"CF"
"70","W","S",5,"56","B","5",21,13,"CF"
"22","D","S",5,"56","B","5",23,8,"CF"
"73","W","S",5,"57","C","5",0,NA,"CF"
"51","D","S",5,"57","C","5",6,26,"CF"
"10","D","S",5,"57","C","5",0,NA,"CF"
"19","D","L",5,"57","C","5",0,NA,"CF"
"58","W","L",5,"57","C","5",0,NA,"CF"
"33","W","L",5,"57","C","5",9,10,"CF"
"68","D","S",5,"57","C","5",6,11,"CF"
"49","W","S",5,"57","C","5",22,6,"CF"
"54","W","L",5,"57","C","5",26,6,"CF"
"19","W","L",5,"57","C","5",0,NA,"CF"
"45","D","L",5,"57","C","5",18,4,"CF"
"70","W","L",5,"57","C","5",8,13,"CF"
"65","D","S",5,"57","C","5",0,NA,"CF"
"67","W","L",5,"57","C","5",41,6,"CF"
"73","W","L",5,"57","C","5",0,NA,"CF"
"49","D","S",5,"58","C","5",15,4,"CF"
"61","D","S",5,"58","C","5",0,NA,"CF"
"62","D","S",5,"58","C","5",0,NA,"CF"
"54","D","L",5,"58","C","5",9,9,"CF"
"50","D","S",5,"58","C","5",3,20,"CF"
"44","W","S",5,"58","C","5",19,10,"CF"
"45","W","S",5,"58","C","5",21,6,"CF"
"9","W","L",5,"58","C","5",26,12,"CF"
"63","D","S",5,"58","C","5",18,13,"CF"
"56","W","L",5,"58","C","5",18,4,"CF"
"71","W","L",5,"58","C","5",14,14,"CF"
"8","D","S",5,"58","C","5",11,4,"CF"
"8","W","S",5,"58","C","5",26,5,"CF"
"33","D","L",5,"58","C","5",7,15,"CF"
"56","D","S",5,"58","C","5",15,6,"CF"
"64","D","L",5,"59","C","5",18,9,"CF"
"49","W","L",5,"59","C","5",19,4,"CF"
"72","W","S",5,"59","C","5",9,18,"CF"
"50","W","L",5,"59","C","5",21,13,"CF"
"52","W","L",5,"59","C","5",16,17,"CF"
"68","W","S",5,"59","C","5",29,13,"CF"
"60","D","L",5,"59","C","5",10,4,"CF"
"65","W","S",5,"59","C","5",0,NA,"CF"
"15","W","L",5,"59","C","5",21,4,"CF"
"10","D","L",5,"59","C","5",0,NA,"CF"
"42","W","L",5,"59","C","5",37,4,"CF"
"60","W","L",5,"59","C","5",4,7,"CF"
"32","D","S",5,"59","C","5",8,9,"CF"
"69","W","S",5,"59","C","5",34,4,"CF"
"55","D","S",5,"59","C","5",20,4,"CF"
"70","D","L",5,"60","C","5",0,NA,"CF"
"44","D","S",5,"60","C","5",2,18,"CF"
"21","W","L",5,"60","C","5",41,6,"CF"
"72","D","S",5,"60","C","5",5,25,"CF"
"19","W","S",5,"60","C","5",28,14,"CF"
"15","D","S",5,"60","C","5",10,6,"CF"
"55","W","S",5,"60","C","5",28,5,"CF"
"50","W","S",5,"60","C","5",10,14,"CF"
"71","W","S",5,"60","C","5",13,10,"CF"
"33","D","S",5,"60","C","5",18,9,"CF"
"61","W","S",5,"60","C","5",0,NA,"CF"
