Genotype,cyanide,linamarin,linamarase,VegBiomass,LatSpread,FrstFlwr,BnrLgth,BnrWdt,InflHt,InflWdt,InflNum,FlwrCt,SeedBm,AvgDMG1,AvgDMG2,VegGrowth,RFSeed,FrstFlwr.T,InflHt.T,SeedBm.T,InflNum.T,AvgDmg1.T,AvgDmg2.T,VegGrowth.T,VegBiomass.T,LatSpread.T,FlwrCt.S,BnrLgth.S,BnrWdt.S,InflHt.S,InflWdt.S,FrstFlwr.S,SeedBm.S,InflNum.S,AvgDmg1.S,AvgDmg2.S,VegGrowth.S
61,0,1,0,1.771,586.3333333,10,5.686666667,2.97,22.605,21.23333333,2.666666667,49.33333333,0.025266667,49.53333333,36.2,-0.540516865618595,0.781760866998798,3.1622776601683795,510.98602500000004,0.15895492128273347,1.29928298422117,7.037992137676768,6.016643582596529,1.099765035987872,1.3307892395116516,24.214320830863706,1.150497697140853,-0.3349968234883875,-1.3468599853836936,0.45564404683384924,0.3600989280214224,0.14859667031573623,-0.14087868897485015,0.17767373556794477,1.1452600430833593,1.562136337137413,-0.41225744432379563
62,0,0,1,3.3516,959.2,4.4,6.166666667,2.901666667,24.21,22.43,2.8,34.11111111,0.04168,31.03,30.43,0.4679641148446561,1.2895960094978058,2.0976176963403033,586.1241,0.20415680248279752,1.33500106673234,5.570457790882182,5.51633936592012,1.4892830875440224,1.830737556287083,30.97095413447897,-0.3816610828382063,0.6561711113520299,-1.6051318276860047,1.1608391912970355,0.7582601456539191,-0.9261819257420179,0.563376982529097,0.25605056848441216,-0.3779435613869433,0.8958208960957963,0.5729806827372095
63,0,0,0,2.176,645.1875,14.25,6.361666667,3.881666667,22.89666667,21.56,1.5,47.33333333,0.018625,55.3,21.25,-0.32704073252743165,0.5762650114418578,3.774917217635375,524.2573445970888,0.1364734406395618,0.9162907318741551,7.436396977031283,4.6097722286464435,1.1928785635900112,1.475127113166862,25.40054133281415,0.9491921639755305,1.058833084880948,2.0988643677910246,0.5801996751286405,0.4687891776522175,0.7670588139435485,-0.491145311213073,-0.6627330740953715,1.5587779199689702,-0.31156385456490937,-0.17673819900956295
66,0,1,0,4.0628,1242,13.4,6.267,3.306,23.905,23.05,3,50,0.01426,31.68,22.52,1.062606561824637,0.4412101510421956,3.6606010435446255,571.449025,0.11941524190822543,1.3862943611198906,5.628498911788116,4.745524207081869,1.6770827534217378,2.0156388565415186,35.24202037341219,1.217599541864803,0.8633527414880005,-0.07691843264871269,1.0231088643671389,0.9645498010114536,0.6516561677745506,-0.7569159579924386,0.36860436984513745,-0.3177007161243995,-0.13076657889058366,1.0479968991432174
67,0,0,1,2.2748,601.2,7.75,5.7925,3.085,21.52,18.0925,2,33.22222222,0.02458,55.31666667,31.73,-0.34641706440943926,0.7605151130867579,2.7838821814150108,463.11039999999997,0.1567801007781281,1.0986122886681098,7.437517507206286,5.632938842203065,1.1847290557720616,1.5082440120882297,24.51938009004306,-0.4711302088012975,-0.11645806076570284,-0.9122073706083288,0.006315816264455492,-0.6849356287223782,-0.23339511600715104,-0.17476289100822137,-0.2626615923902382,1.559940956190378,1.0511104756656242,-0.19735137928952307
68,0,0,1,1.789,459,1,5.4975,3.105,16.59,14.6,2.333333333,45.66666667,0.031833333,41.1,32.51666667,-0.6901750675091012,0.9849361613679178,1,275.2281,0.17841898161350433,1.2039728042259361,6.410928169929843,5.702338701795957,1.0294779902896898,1.3375350462698163,21.42428528562855,0.7814375536754464,-0.7256133540530438,-0.8366156115169607,-1.7570203577135943,-1.846978566361392,-2.034231487819171,0.16237583306085993,-0.03146711207942728,0.49440911206984495,1.1435386353962325,-0.5900399039137221
70,0,1,0,3.546,866.4,11.33333333,5.675,3.585,18.95,19.67,2.2,21.77777778,0.00986,28.72,28.19,0.4221851465440396,0.30507237652707214,3.3665016456256187,359.10249999999996,0.09929753269845128,1.1631508098056809,5.359104402789705,5.309425580983314,1.4738334867087393,1.8830825791770258,29.434673431176368,-1.6230452036888525,-0.3590877114818477,0.9775866066758698,-0.9698319765265186,-0.16006154593768418,0.3547616204673655,-1.0703544794102278,-0.12104355098800358,-0.5973144015057088,0.6202488635759685,0.5339028127130002
71,1,1,1,4.8125,1869.8125,5.25,5.77875,3.51375,24.3375,22.305,7,45.5,0.044575,21.3,20.5875,2.0932205086287707,1.3791684770480972,2.29128784747792,592.31390625,0.21112792330717411,2.0794415416798357,4.61519230368573,4.537345038676252,1.9604133514717683,2.1937410968480306,43.241328610485596,0.7646620922428272,-0.1448508922324873,0.7082909649128714,1.2189325256374195,0.7166694893318355,-0.7306711145816636,0.6719886430831611,1.8895897346187875,-1.3694459657442186,-0.4080238751279719,1.764646889167226
72,0,1,0,6.3072,1863.8,5,6.045,3.201666667,24.115,21.01166667,5,55.66666667,0.05106,40.84,12.4,2.607705285687703,1.57981699244141,2.23606797749979,581.5332249999999,0.22596459899727656,1.791759469228055,6.390618123468183,3.521363372331802,2.087511745041858,2.511413944374762,43.17175002243944,1.7879652195020588,0.4049375716243069,-0.47125544131548625,1.1177523440649564,0.28634483302842917,-0.7864157995946995,0.9031474516020547,1.258323772383412,0.4733286269384877,-1.7611291449529338,2.086126683834474
75,0,0,0,1.86825,506.9375,22.33333333,5.535,3.161666667,19.21333333,19.23,1.25,46.75,0.025725,20.375,9.725,-0.6037982297756002,0.7959418748639889,4.725815625899935,369.15217764968895,0.1603901493234544,0.8109302162163288,4.513867521316947,3.118493225902535,1.070608131028529,1.36683941997588,22.515272594396897,0.8904780504711538,-0.6481783591436352,-0.6224389594982223,-0.875512500255921,-0.30646065619141855,1.7269946535081637,-0.11851750707833683,-0.8939275546256142,-1.4746143892727088,-2.2976798881863068,-0.4860062585784227
76,0,0,1,2.3696,834.95,15.8,6.405,3.30125,23.585,23.345,2.4,44.46666667,0.03054,36.76,22.6,-0.02705036851437194,0.9449199167481525,3.9749213828703582,556.2522250000001,0.17475697410976193,1.2237754316221157,6.063002556489647,4.753945729601885,1.3126117596173013,1.5393505123915086,28.89550137997263,0.6606542337762534,1.14831352275462,-0.0948714754329127,0.8804819795104518,1.0627037499315701,0.9689638382895853,0.10532091664740442,0.011986150515283676,0.1332853335107956,-0.11955062206846417,0.12611223200300395
77,0,0,1,6.18025,1414.75,12,6.92,3.24,25.92,25.05,2,57.66666667,0.100125,29.2,12.55,2.0134403831025347,3.0979078803015314,3.4641016151377544,671.8464000000001,0.3164253466459348,1.0986122886681098,5.403702434442518,3.5425979167836705,1.9399588611881786,2.486010860796871,37.613162589710534,1.9892707526673814,2.211754119510483,-0.3263712376502263,1.9653707118638948,1.6300003021647897,0.4532891896175773,2.31254663784576,-0.2626615923902382,-0.5510245939013934,-1.732848542111411,1.7129097652612075
78,0,1,0,2.41725,809.625,2.666666667,7.341666667,3.891666667,24.63333333,23.73333333,3.333333333,40.55555556,0.0574,49.05,15.36666667,-0.04142923131645455,1.7759791493563832,1.6329931619575142,606.8011109468888,0.2395829710142188,1.466337068716504,7.003570517957251,3.920034013883043,1.3071230885741194,1.5547507838878873,28.45391010037109,0.2669900801425703,3.0824676185134656,2.1366602473367076,1.3548996289880215,1.1919120544630926,-1.3952222970568173,1.1153248096003459,0.5442435273368514,1.1095326781034562,-1.2301713886496872,0.11222931192514222
79,0,1,0,1.454,330.5,3,6.4975,3.28625,23.09,25.02,2.4,53.75,0.0498,50.58,38.53,-0.9645057922068854,1.5408320842848064,1.7320508075688772,533.1481,0.22315913604421397,1.2237754316221157,7.111961754677819,6.2072538211353985,0.8862811110438463,1.2058192235986287,18.179658962697843,1.5950474165497825,1.3393198435311573,-0.15156529475143912,0.6636422911491174,1.6200185446474893,-1.2952231979114308,0.8594376956486733,0.011986150515283676,1.2220356139470916,1.815994971395578,-0.9522388432068297
80,0,0,0,3.4856,1270.15,4.4,5.768,3.639,17.64125,16.28125,2.6,41,0.02266,34.4,19.29,0.8955620947887729,0.7011095387528858,2.0976176963403033,311.2137015625,0.1505323885414697,1.2809338454620642,5.865151319446072,4.3920382511995495,1.6265183966954608,1.8669761648183942,35.6391638510221,0.3117246426208517,-0.16704892410651706,1.1816843562225625,-1.4192838440690558,-1.2875842388293688,-0.9261819257420179,-0.2721036799262069,0.13740988931489476,-0.07207116671145429,-0.6015464419115764,0.9201005618155487
81,0,0,0,3.46375,900.3125,3.25,5.27,3.176666667,20.07,14.325,3,33,0.037375,39.25,21.7,0.43500096843548086,1.1563975732960772,1.8027756377319946,402.80490000000003,0.19332614929181205,1.3862943611198906,6.264982043070834,4.658325879540846,1.4781748774875998,1.861115257043475,30.00520788129954,-0.49349749004043825,-1.1953856565034497,-0.5657451401796958,-0.5596708128104131,-1.938478010269976,-1.2238261920581956,0.39463292291608615,0.36860436984513745,0.34292668375347435,-0.246899104136053,0.5448838281055254
82,0,0,1,2.15175,394.875,7,6.2225,3.9075,16.87,19.13,2,10.66666667,0.0202,33.65,31.95,-0.642059901400138,0.6249961466376123,2.6457513110645907,284.59690000000006,0.14212670403551894,1.0986122886681098,5.80086200490927,5.6524331044250316,1.0525873353788093,1.4668844535272707,19.871461949237656,-2.7414092767176967,0.771463214195503,2.1965037220241785,-1.6690911384802463,-0.33973318124908586,-0.3728387956338922,-0.40306617150897495,-0.2626615923902382,-0.13879922377211085,1.0770733348565793,-0.5315876504629511
84,1,1,1,2.9992,854.8,10.2,5.44375,3.75625,20.04,19.715,3.6,27.08333333,0.00668,33.12,19.49,0.2170732744034668,0.20668189403659654,3.1937438845342623,401.60159999999996,0.0817312669668102,1.5260563034950494,5.754997827975263,4.414748010928823,1.402523894414447,1.7318198520631412,29.23696290656743,-1.08902635932336,-0.8366035134231946,1.6248410438957082,-0.5709641726327482,-0.14508890966173474,0.18036195274976508,-1.3440409265273034,0.6752865217269782,-0.18640320644858688,-0.5713011170360779,0.3535339469497028
86,1,1,1,3.8702,1073,3.8,5.8075,3.43375,19.7575,18.9125,3.4,30.83333333,0.03848,29.96,27.45,0.7883927483748479,1.1905867189413524,1.9493588689617927,390.35880625,0.19616319736382765,1.4816045409242156,5.473572873361603,5.239274758971894,1.5932334255766942,1.9672823894906395,32.7566787083184,-0.7115784846383802,-0.08548406280194047,0.40592392854739934,-0.6764814295321436,-0.41210092324951036,-1.0758498194891486,0.4388347822635571,0.5777452170735948,-0.4785036988096145,0.5268205566580525,0.8359103106235422
87,1,1,1,0.6045,124.4375,2.25,5.955,3.1975,24.425,23.895,4.25,28.55555556,0.02135,53.64166667,45.0875,-1.5134543667342575,0.6605776104313378,1.5,596.580625,0.14611639196202458,1.6582280766035324,7.324047150995138,6.714722630161279,0.48635957198943103,0.7774959806970065,11.155155758661552,-0.940843118849365,0.2190935838417291,-0.4870037257193848,1.2589770615839433,1.2457026377487377,-1.529479439008537,-0.34090591898903244,0.9653134282373488,1.4421662301958107,2.4918523638181664,-1.9637913156409028
88,0,0,0,1.4488,505.4,1.5,5.423333333,3.293333333,21.15,20.85,2.6,41.16666667,0.0418,33.28,26.84,-0.7521247512243647,1.293308857893673,1.224744871391589,447.32249999999993,0.2044504830026087,1.2809338454620642,5.768882040742383,5.180733538795447,0.9989370594665288,1.2036610818664863,22.48110317577854,0.3285001040534709,-0.8787625668955148,-0.12479321466644157,-0.1418587333399943,0.23255424974278405,-1.8073506192299968,0.5679525923532067,0.13740988931489476,-0.17199231175416066,0.4488541561345631,-0.6672894418047106
89,0,0,0,0.8202,237.8,6.4,5.875,3.438333333,20.39,20.715,4.4,34.22222222,0.02114,43.23,30.04,-1.2993137280080571,0.6540801257385704,2.5298221281347035,415.75210000000004,0.1453960109494067,1.6863989535702288,6.5749524713111045,5.4808758424178885,0.6713317153181003,0.9056489386070079,15.42076522096099,-0.3704774422186363,0.053898928034992875,0.4232470387459761,-0.43815715180174636,0.18763634091493334,-0.4898697808354989,-0.3521296203109848,1.0271292918531696,0.6646554900373325,0.8485898464351398,-1.4959269706547573
90,0,1,0,0.963333333,199.3333333,17.66666667,5.913333333,3.026666667,22.885,20.1025,2.333333333,39.91666667,0.026833333,18.075,27.4,-1.2964506038708539,0.8302341448734595,4.20317340470269,523.7232250000001,0.16380883065329538,1.2039728042259361,4.251470333896263,5.2345009313209605,0.6734607606454486,0.981495457452555,14.118545721851099,0.20268414582514435,0.13305469992074234,-1.132683333364955,0.5751867898979551,-0.01615787506327609,1.199385189619663,-0.06525366823612187,-0.03146711207942728,-1.7469653175866209,0.5204626748520195,-1.490541811681086
93,0,0,1,0.8146,161.9,15,5.376,3.368,22.98,21.75,3,49.66666667,0.02662,49.8875,29.46,-1.3942220801744156,0.823633535816497,3.872983346207417,528.0804,0.1631563667161046,1.3862943611198906,7.063108380875944,5.427706698044765,0.5964712229651857,0.9025519375637061,12.72399308393399,1.1840486200060913,-0.9765027375595228,0.1574160205345273,0.6160802870174431,0.5320069752617849,0.8660569725748791,-0.07541920595311755,0.36860436984513745,1.1713290425962495,0.7777780869058425,-1.6852774025076394
96,0,1,0,2.48325,616.6875,6,6.1975,3.0625,22.56,23.525,2.5,38,0.01525,49.7,28.9,-0.25467318894021646,0.47184115030809837,2.449489742783178,508.95359999999994,0.1234908903522847,1.252762968495368,7.049822692805827,5.375872022286245,1.2228355617415547,1.5758331129913472,24.833193511910626,0.009766342872867958,0.7198398842558973,-0.9972480995861176,0.4365690806268275,1.1225942950353702,-0.5709656530195548,-0.6934164209027985,0.07559402569907438,1.1575393769570963,0.7087436001115283,-0.10096564717715562
97,1,1,1,2.9992,928.1,2.4,5.918333333,3.793333333,26.5675,22.9175,3.6,48.625,0.09512,29.12,19.06,0.30684231729217704,2.943051161790578,1.5491933384829668,705.8320562499999,0.30841530441921977,1.5260563034950494,5.396295025292817,4.365775990588615,1.4341695566745856,1.7318198520631412,30.464733709651888,1.0792019878136436,0.14337936590866313,1.765000762617757,2.284337091677256,0.920463705310045,-1.4798185622343119,2.187748343673389,0.6752865217269782,-0.5587129947495616,-0.6365230604937118,0.43357776748696397
98,0,1,0,2.3574,406.3,11.4,5.285,2.945,19.475,20.229,2,44.83333333,0.03676,11.20333333,16.3,-0.5562688590278574,1.1373692252672587,3.3763886032268267,379.27562500000005,0.19172897537930986,1.0986122886681098,3.347138080509975,4.03732584763727,1.0925800387029512,1.5353826884526216,20.15688467993008,0.6975602475188775,-1.1644116585396855,-1.4413496842479048,-0.7805006714771281,0.02593186913467244,0.36474254467879264,0.36974858721157516,-0.2626615923902382,-2.685602393444822,-1.0739597131660958,-0.43043101353234164
99,1,1,1,0.507,109.25,5,5.531666667,3.033333333,17.345,17.535,3.333333333,15.33333333,0.031533333,42.77333333,39.3,-1.5660946008636452,0.9756540403782503,2.23606797749979,300.849025,0.17757627375299886,1.466337068716504,6.540132516241548,6.268971207462991,0.42884192791325204,0.7120393247567159,10.452272480183437,-2.2716963666696293,-0.6550614691139391,-1.1074860828542257,-1.5165596870528744,-0.8704299559188711,-0.7864157995946995,0.1492462514057253,0.5442435273368514,0.6285146793058571,1.898191455294901,-2.1092751403216368
101,1,1,1,0.9936,269.3,16.2,5.37125,2.83875,20.2525,17.0775,2.6,31.13333333,0.01714,33.01333333,29.19,-1.200196754132166,0.5303185125430037,4.024922359499621,410.16375625000006,0.13091982279242514,1.2809338454620642,5.745723046753994,5.40277706369604,0.7414871852350746,0.996794863550169,16.410362579784763,-0.6813826546635818,-0.9863111702480487,-1.842930904420796,-0.49060556597912824,-1.0226517580576966,1.0194400290818917,-0.5776719504230797,0.13740988931489476,-0.1960298160184188,0.7445762873758964,-1.3184773158622618
102,0,1,0,3.3382,862.6,10.6,6.41625,3.11125,23.67,23.3975,6.4,46.58333333,0.08002,26.68,17.72,0.3449816544433555,2.4758510719773135,3.255764119219941,560.2689,0.28287806560424583,2.0014800002101243,5.165268628057984,4.209513035969837,1.4474051452317542,1.8270741637930301,29.370052774893,0.8737025890385346,1.1715440212274413,-0.8129931868009079,0.9181797739626871,1.0801718255868458,0.24297163380039058,1.7898723085943302,1.7185173175098643,-0.7985031173892891,-0.8446372759144083,0.46705556505890816
103,0,0,0,0.514666667,126.1666667,32.5,4.93,3.46,20.03,18.67,0.666666667,34,0.001866667,49.9,34.66666667,-1.542700416064551,0.057755429804732264,5.70087712549569,401.20090000000005,0.04320494184696931,0.5108256239659906,7.063993204979744,5.887840577834967,0.4553016406026328,0.7174027230224318,11.2323936318133,-0.392844723457777,-1.8974629436820778,0.5051381123548201,-0.5747248717774407,-0.49278679651435225,2.7113232327828163,-1.9442899039485018,-1.5524524761947827,1.1722474315029043,1.390593847459187,-2.042348543034271
104,0,0,0,1.4292,628,6.2,5.06,3.033333333,18.145,19.025,2.6,40.55555556,0.05112,46.26,34.2,-0.6088219796928174,1.5816734166393434,2.4899799195977463,329.241025,0.22609732417700126,1.2809338454620642,6.80147042925278,5.848076606885378,1.0682593413151988,1.1954915307102765,25.059928172283335,0.2669900801425703,-1.6290216279961318,-1.1074860828542257,-1.2500915809482291,-0.37466933255963614,-0.5300906536118383,0.905215340329048,0.13740988931489476,0.8997661508321819,1.337635373479388,-0.49194723401916657
109,1,1,1,3.7984,931.2,21.33333333,6.2775,3.44,21.99,16.29,1.6,35,0.0193,46.56,17.12,0.5896654217808364,0.5971497836686097,4.618802153156162,483.5600999999999,0.13892443989449804,0.9555114450274363,6.823488843692792,4.13763217311544,1.52959648985634,1.9489484344127732,30.515569796417044,-0.2921919568751158,0.8850345400626335,0.42954635326345214,0.19824286717344927,-1.2846728928868232,1.6189641142726428,-0.4529581809363279,-0.576670355562872,0.9226198089513278,-0.9403696867932428,0.6749484884164771
110,0,1,0,2.738,850.5,5.4,5.441666667,3.241666667,19.5875,17.54,4.2,35.22222222,0.01542,30.97,19.08,0.12061377332262008,0.47710101886890993,2.32379000772445,383.67015624999993,0.12417729261020309,1.6486586255873816,5.56506963119061,4.368065933568311,1.3677038324588477,1.6546903033498443,29.16333314283537,-0.26982467563597506,-0.840905456896517,-0.32007192313275024,-0.7392565738649434,-0.868766329665988,-0.6978600506312481,-0.6827221163686,0.9443150092107783,-0.3835361148297914,-0.6334732673566226,0.2654608718040768
114,1,1,1,2.0256,695.15,4.2,5.47625,3.14,19.47,18.98666667,3,32.875,0.04402,58.45,31.36,-0.3183621684432675,1.3619965532172122,2.04939015319192,379.08089999999993,0.20980943734732238,1.3862943611198906,7.6452599694189605,5.6,1.1965106901138547,1.4232357499725756,26.365697411599033,-0.5060790858632709,-0.7694931845017067,-0.7043300331070663,-0.7823282286045323,-0.3874237993893232,-0.9748678281685175,0.6514463295693909,0.36860436984513745,1.7755638940350988,1.0072418484616863,-0.1675511805407044
115,0,0,1,0.59,66.5,1,6.41,4.01,20.69,22.65,2,44,0.0091,100,38,-1.5894716828375666,0.28155767001991444,1,428.07610000000005,0.09539392014169457,1.0986122886681098,10,6.164414002968976,0.4006598521968896,0.7681145747868608,8.154753215150045,0.6136829423688354,1.1586381887425408,2.583911487367438,-0.322492424426653,0.8314597007807857,-2.034231487819171,-1.1311736579369402,-0.2626615923902382,4.219628327692675,1.7589400208590231,-2.1805582435938806
116,0,1,0,2.5204,1017.45,3.666666667,5.7,3.18,18.61,19.16,1,38.33333333,0.00974,54.65,27.36,0.2491028913283552,0.30135952813120515,1.914854215599715,346.33209999999997,0.09869143833180262,0.6931471805599453,7.392563831310488,5.230678732248808,1.4138963509848788,1.5875767697972907,31.897492064424124,0.04331726473157936,-0.3074643815422419,-0.5531465149243303,-1.0896863123323357,-0.3297514237317854,-1.1106824084451674,-1.0797975685880805,-1.1523809949285129,1.513282013380467,0.5153721915508221,0.38229918072198077
118,0,1,0,3.1824,791.1,10.6,6.146666667,3.186666667,23.1875,23.3375,1.6,39,0.02838,41.32,28.4,0.20302221102753654,0.8780886456225463,3.255764119219941,537.66015625,0.1684636459299157,0.9555114450274363,6.428063471995279,5.329165037789691,1.3975057105527464,1.7839282496782207,28.126499960002132,0.1104191094555292,0.614872447400345,-0.5279492606340127,0.7059893989109914,1.0602083105522448,0.24297163380039058,0.007269420877222979,-0.576670355562872,0.5121944224625927,0.6465382779551604,0.3408410664801135
119,0,0,0,2.7648,827,11,6.42625,3.6925,21.99333333,20.58666667,2.6,53.20833333,0.0508,24.04,12.95,0.10119054141057617,1.571772487583698,3.3166247903554,483.7067109644888,0.2253885533916929,1.2809338454620642,4.903060268852505,3.598610843089316,1.360584632211674,1.6627687752661222,28.75760768909681,1.5405271676486654,1.192193353203283,1.3838923117919721,0.19961885851049957,0.14493660153334503,0.3044107306956165,0.8941725290101904,0.13740988931489476,-1.0706580545029578,-1.6582493753418108,0.24745372813082217
120,0,1,0,2.933,1184.55,8.4,6.51,3.21,21.71333333,22.94166667,5,35.08333333,0.06342,32.92,26.12,0.5977989359774261,1.9622403772157115,2.898275349237888,471.46884429968895,0.25183327818221324,1.791759469228055,5.737595315112421,5.110772935672255,1.5322528955682957,1.7126003620226173,34.41729216542173,-0.28380422666206967,1.36513150850096,-0.43975887628727917,0.08476252035431502,0.9285045666413985,-0.11791474435007919,1.3061874036269263,1.258323772383412,-0.2044658639784904,0.3556791866425151,0.6816675407887757
121,1,1,1,3.80025,980.9375,8.5,6.85,3.778333333,23.53666667,22.93666667,2,33,0.018525,23.3,21.95,0.651223837426162,0.5731709711119687,2.9154759474226504,553.9746779346889,0.136106575888162,1.0986122886681098,4.8270073544588685,4.685082710048992,1.5495882799718648,1.9494229915541677,31.319921775125813,-0.49349749004043825,2.0672087956795884,1.7083069432992306,0.8591064634123374,0.9268409403885155,-0.10055067000102451,-0.4968611481426171,-0.2626615923902382,-1.149595950292509,-0.21126380719742643,0.7255152690093839
122,0,1,0,2.29625,898.6875,6,5.38375,3.11,22.7525,16.6175,3.5,40.55555556,0.057475,51.25,38.5,0.0253988120895208,1.7782996796038002,2.449489742783178,517.67625625,0.23973944189473703,1.5040773967762742,7.158910531638177,6.2048368229954285,1.3324409225513605,1.5153382460691738,29.978117018918983,0.2669900801425703,-0.9604995052782458,-0.8177176717441191,0.5184340317095049,-1.175705373322964,-0.5709656530195548,1.117762661789339,0.6270578101480363,1.270765339726722,1.812775963584032,0.17626766709077615
123,0,1,0,0.806,275.9166667,13,5.265,3.11,19.9275,20.255,2,46.5,0.018333333,33.33333333,20.46666667,-1.2575906889800579,0.56724071683288,3.605551275463989,397.1052562499999,0.1354006388463511,1.0986122886681098,5.7735026916075824,4.524010020988017,0.70171882618321,0.8977750274985377,16.61073949889047,0.8653148588254885,-1.2057103224913703,-0.8177176717441191,-0.6131638134984136,0.03458272564966574,0.5960832013240478,-0.5078598090881564,-0.2626615923902382,-0.16719638171801324,-0.4257837258269331,-1.4190665014777082
124,1,1,1,4.43075,1880.25,8.75,5.9,3.38625,18.4475,15.53375,9.25,28.16666667,0.06985,23.2,14.775,1.9727218206508503,2.161187170427585,2.958039891549808,340.31025625000007,0.2642915057280502,2.327277705584417,4.8166378315169185,3.843826218756514,1.9294356223131288,2.104934678321396,43.36184959154764,-0.9799858615211249,0.10552225797459863,0.22639350070540093,-1.1462032642667035,-1.5362963636354283,-0.05758219399373611,1.5002894448054682,2.4334211007883737,-1.160358829373544,-1.3316664968817753,1.6862925234711308
125,0,0,0,1.675,888.15,10.8,6.343333333,3.903333333,25.09333333,22.65666667,2.8,31.33333333,0.02922,39.88,24.12,-0.20440474311280582,0.9040785843936153,3.286335345030997,629.6753776104889,0.17093858546273277,1.33500106673234,6.315061361538778,4.91121166312347,1.243219713842728,1.2942179105544784,29.801845580433437,-0.6612521013470497,1.02097597488195,2.18075543762028,1.5695820224926054,0.833677870227048,0.2738334115259564,0.04582954617159428,0.25605056848441216,0.3949057045964294,0.0898993812742662,-0.049406435074782915
126,0,0,0,0.861666667,268.6666667,3.333333333,5.766666667,3.411666667,21.4,18.07,3.333333333,36,0.0528,40.8,28.2,-1.2470345830424467,1.6336532941814816,1.8257418582592666,457.9599999999999,0.22978250586152116,1.466337068716504,6.387487769068525,5.310367218940701,0.709200547770201,0.9282600212225021,16.391054471875812,-0.19153919029245453,-0.16980216768165124,0.322458029143877,-0.04202235412443495,-0.6924219468603535,-1.2006416983290409,0.9626313157916341,0.5442435273368514,0.4700795260808184,0.621502956365844,-1.4001424045478992
