site.id,gambiae,funestus,arabiensis,merus,lat,long,site.name,total.abundance,PfPOS,PfNEG,PfEX,PfPR,distance,SR
24,0.075056861,0.93025019,0.0015163,0,-4.38,39.48,Magaoni,1327,64,14,78,0.8205128,42.15,3
2,0.398981324,0.0237691,0.281833616,0.295415959,-3,40.2,Garithe,589,79,21,100,0.79,130.7,4
3,0.90512334,0.018975332,0.075901328,0,-3.54,39.61,Kagombani,527,72,28,100,0.72,57.23,3
4,0.836852207,0.034548944,0.10940499,0.019193858,-3.15,40.15,Majenjeni,521,58,42,100,0.58,113.4,4
21,0.78372591,0.17130621,0.040685225,0.004282655,-4.13,39.29,Amani,467,73,27,100,0.73,43.11,4
14,0.444191344,0.466970387,0.061503417,0.027334852,-3.64,39.74,Jaribuni,439,53,45,98,0.540816327,46.25,4
27,0.016393443,0.7470726,0.06323185,0.173302108,-4.6,39.167,Tsuini,427,67,33,100,0.67,82.61,4
9,0.720095694,0.107655502,0.172248804,0,-3.59,39.53,Paziani,418,72,28,100,0.72,53.66,3
23,0.112531969,0.846547315,0.007672634,0.033248082,-4.43,39.5,Gazi,391,60,40,100,0.6,45.68,4
5,0.731903485,0.024128686,0.214477212,0.02919571,-3.13,40.11,Masheheni,373,67,34,101,0.663366337,113.4,4
28,0.114285714,0.794285714,0,0,-4.19,39.54,Vinuni,350,66,34,100,0.66,21.22,2
13,0.683890578,0.282674772,0.012158055,0.021276596,-3.74,39.8,Dindiri,329,62,39,101,0.613861386,37.37,4
11,0.335548173,0.651162791,0.013289037,0,-3.93,39.77,Barani,301,65,35,100,0.65,63.54,3
6,0.627586207,0.296551724,0.075862069,0,-3.21,40.07,Maziwani,290,48,52,100,0.48,103.4,3
17,0.641304348,0.329710145,0,0.028985507,-3.67,39.75,Majajani,276,76,25,101,0.752475248,43.18,3
8,0.496183206,0.030534351,0.404580153,0.06870229,-3.07,40.15,Mjanaheri,262,49,51,100,0.49,121.3,4
29,0.212765957,0.787234043,0,0,-4.19,39.5,Vuga,188,44,56,100,0.44,24.45,2
1,0.353658537,0,0.646341463,0,-3.34,40.01,Dabaso,164,38,61,99,0.383838384,87.5,2
18,0.787234043,0.191489362,0.021276596,0,-3.91,39.74,Mtepeni,141,82,17,99,0.828282828,17.4,3
10,0.656033058,0.305785124,0.031239669,0,-3.26,40.02,Mijomboni,121,63,37,100,0.63,96.05,3
30,0.744186047,0.255813953,0,0,-4.16,39.46,Ziwani,86,59,41,100,0.59,26.3,2
22,0.894117647,0.094117647,0.011764706,0,-4.12,39.37,Dumbule,85,82,18,100,0.82,34.2,3
15,0.880597015,0.119402985,0,0,-3.71,39.74,Kitsoeni,67,69,31,100,0.69,38.6,2
19,1,0,0,0,-3.79,39.83,Shariani,58,54,46,100,0.54,33.92,1
7,0.571428571,0.017857143,0.410714286,0,-3.3,40.09,Mbaraka Chembe,56,59,41,100,0.59,95.54,3
25,0.652173913,0.304347826,0.043478261,0,-4.15,39.4,Moyeni,46,78,22,100,0.78,31.95,3
26,0.604651163,0.162790698,0.23255814,0,-4.27,39.58,Mwaroni,43,50,50,100,0.5,26.42,3
16,0.666666667,0.333333333,0,0,-3.53,39.78,Kitengwani,30,69,30,99,0.696969697,59.1,2
20,0.631578947,0.315789474,0.052631579,0,-3.68,39.85,Takaungu,19,52,48,100,0.52,45.59,3
12,1,0,0,0,-3.73,39.71,Chasimba,2,39,61,100,0.39,35.86,1